Prediction	Accession	Query
MurE	WP_003078286.1	MurE.1
MurE	WP_137598606.1	MurE.1
MurE	WP_057874205.1	MurE.1
MurE	WP_075269377.1	MurE.1
MurE	WP_128832919.1	MurE.1
MurE	WP_003054161.1	MurE.1
MurE	WP_121834885.1	MurE.1
MurE	WP_035167683.1	MurE.1
MurE	WP_258087730.1	MurE.1
MurE	WP_057797631.1	MurE.1
MurE	WP_148604772.1	MurE.1
MurE	WP_056981198.1	MurE.1
MurE	WP_134974246.1	MurE.1
MurE	WP_027698609.1	MurE.1
MurE	WP_109290140.1	MurE.1
MurE	WP_117744555.1	MurE.1
MurE	WP_023466424.1	MurE.1
MurE	WP_000590327.1	MurE.1
MurE	WP_018364210.1	MurE.1
MurE	WP_018030326.1	MurE.1
MurE	WP_013728042.1	MurE.1
MurE	WP_054279077.1	MurE.1
MurE	WP_125982959.1	MurE.1
MurE	WP_057756136.1	MurE.1
MurE	WP_006269845.1	MurE.1
MurE	WP_261814125.1	MurE.1
MurE	WP_010766763.1	MurE.1
MurE	WP_018375842.1	MurE.1
MurE	WP_067085929.1	MurE.1
MurE	WP_253362687.1	MurE.1
MurE	WP_178913965.1	MurE.1
MurE	WP_035444788.1	MurE.1
MurE	WP_027969810.1	MurE.1
MurE	WP_164228545.1	MurE.1
MurE	WP_138726430.1	MurE.1
MurE	WP_113850259.1	MurE.1
MurE	WP_120701713.1	MurE.1
MurE	WP_074533551.1	MurE.1
MurE	WP_006145282.1	MurE.1
MurE	WP_013903967.1	MurE.1
MurE	WP_089121379.1	MurE.1
MurE	WP_002985858.1	MurE.1
MurE	WP_056937086.1	MurE.1
MurE	WP_168722063.1	MurE.1
MurE	WP_027973338.1	MurE.1
MurE	WP_057910464.1	MurE.1
MurE	WP_089937921.1	MurE.1
MurE	WP_155431822.1	MurE.1
MurE	WP_230097294.1	MurE.1
MurE	WP_260344945.1	MurE.1
MurE	WP_039932298.1	MurE.1
MurE	WP_017867494.1	MurE.1
MurE	WP_126806162.1	MurE.1
MurE	WP_218493815.1	MurE.1
MurE	WP_071875419.1	MurE.1
MurE	WP_125982084.1	MurE.1
MurE	WP_137619510.1	MurE.1
MurE	WP_237395201.1	MurE.1
MurE	WP_147000279.1	MurE.1
MurE	WP_070368036.1	MurE.1
MurE	WP_220739229.1	MurE.1
MurE	WP_125748292.1	MurE.1
MurE	WP_076614015.1	MurE.1
MurE	WP_003101555.1	MurE.1
MurE	WP_027971797.1	MurE.1
MurE	WP_040367038.1	MurE.1
MurE	WP_074486332.1	MurE.1
MurE	WP_191981328.1	MurE.1
MurE	WP_035177417.1	MurE.1
MurE	WP_057894717.1	MurE.1
MurE	WP_249511219.1	MurE.1
MurE	WP_188356835.1	MurE.1
MurE	WP_054652319.1	MurE.1
MurE	WP_178942678.1	MurE.1
MurE	WP_031941337.1	MurE.1
MurE	WP_120770404.1	MurE.1
MurE	WP_137609856.1	MurE.1
MurE	WP_199574784.1	MurE.1
MurE	WP_075103892.1	MurE.1
MurE	WP_120784478.1	MurE.1
MurE	WP_068222338.1	MurE.1
MurE	WP_203628996.1	MurE.1
MurE	WP_018368904.1	MurE.1
MurE	WP_220729455.1	MurE.1
MurE	WP_057798498.1	MurE.1
MurE	WP_098826160.1	MurE.1
MurE	WP_006739649.1	MurE.1
MurE	WP_057906848.1	MurE.1
MurE	WP_057787289.1	MurE.1
MurE	WP_052006312.1	MurE.1
MurE	WP_010370404.1	MurE.1
MurE	WP_119876279.1	MurE.1
MurE	WP_025267933.1	MurE.1
MurE	WP_010752737.1	MurE.1
MurE	WP_125550386.1	MurE.1
MurE	WP_056957183.1	MurE.1
MurE	WP_036685783.1	MurE.1
MurE	WP_220741982.1	MurE.1
MurE	WP_138467158.1	MurE.1
MurE	WP_220734026.1	MurE.1
MurE	WP_203650745.1	MurE.1
MurE	WP_217303930.1	MurE.1
MurE	WP_125008050.1	MurE.1
MurE	WP_015694561.1	MurE.1
MurE	WP_125571339.1	MurE.1
MurE	WP_009496355.1	MurE.1
MurE	WP_105299671.1	MurE.1
MurE	WP_147001231.1	MurE.1
MurE	WP_049552271.1	MurE.1
MurE	WP_062913382.1	MurE.1
MurE	WP_261804812.1	MurE.1
MurE	WP_153522433.1	MurE.1
MurE	WP_057737405.1	MurE.1
MurE	WP_140833066.1	MurE.1
MurE	WP_204653988.1	MurE.1
MurE	WP_280606842.1	MurE.1
MurE	WP_200772563.1	MurE.1
MurE	WP_006148136.1	MurE.1
MurE	WP_006148136.1	MurE.1
MurE	WP_054642765.1	MurE.1
MurE	WP_219966859.1	MurE.1
MurE	WP_000590270.1	MurE.1
MurE	WP_056947597.1	MurE.1
MurE	WP_025022574.1	MurE.1
MurE	WP_056955202.1	MurE.1
MurE	WP_054449892.1	MurE.1
MurE	WP_135374303.1	MurE.1
MurE	WP_091501471.1	MurE.1
MurE	WP_199567081.1	MurE.1
MurE	WP_003082548.1	MurE.1
MurE	WP_155287328.1	MurE.1
MurE	WP_120171915.1	MurE.1
MurE	WP_070652337.1	MurE.1
MurE	WP_223896682.1	MurE.1
MurE	WP_223902623.1	MurE.1
MurE	WP_025085442.1	MurE.1
MurE	WP_230098590.1	MurE.1
MurE	WP_108983065.1	MurE.1
MurE	WP_039639704.1	MurE.1
MurE	WP_093650520.1	MurE.1
MurE	WP_010690665.1	MurE.1
MurE	WP_054682244.1	MurE.1
MurE	WP_057881029.1	MurE.1
MurE	WP_120718619.1	MurE.1
MurE	WP_105955899.1	MurE.1
MurE	WP_057771002.1	MurE.1
MurE	WP_054715504.1	MurE.1
MurE	WP_014947579.1	MurE.1
MurE	WP_075098865.1	MurE.1
MurE	WP_005589437.1	MurE.1
MurE	WP_002289475.1	MurE.1
MurE	WP_211089490.1	MurE.1
MurE	WP_026216713.1	MurE.1
MurE	WP_109715080.1	MurE.1
MurE	WP_221913674.1	MurE.1
MurE	WP_140922819.1	MurE.1
MurE	WP_156764599.1	MurE.1
MurE	WP_252441996.1	MurE.1
MurE	WP_061993758.1	MurE.1
MurE	WP_018167641.1	MurE.1
MurE	WP_018365545.1	MurE.1
MurE	WP_016184479.1	MurE.1
MurE	WP_056950300.1	MurE.1
MurE	WP_045612052.1	MurE.1
MurE	WP_011922188.1	MurE.1
MurE	WP_129301816.1	MurE.1
MurE	WP_037615131.1	MurE.1
MurE	WP_070229824.1	MurE.1
MurE	WP_004259245.1	MurE.1
MurE	WP_125546548.1	MurE.1
MurE	WP_203617089.1	MurE.1
MurE	WP_057827713.1	MurE.1
MurE	WP_005685323.1	MurE.1
MurE	WP_093624301.1	MurE.1
MurE	WP_003702052.1	MurE.1
MurE	WP_059375402.1	MurE.1
MurE	WP_261809961.1	MurE.1
MurE	WP_041499036.1	MurE.1
MurE	WP_057865504.1	MurE.1
MurE	WP_125600987.1	MurE.1
MurE	WP_007896270.1	MurE.1
MurE	WP_057879138.1	MurE.1
MurE	WP_046331567.1	MurE.1
MurE	WP_212572058.1	MurE.1
MurE	WP_146621632.1	MurE.1
MurE	WP_034525752.1	MurE.1
MurE	WP_057815820.1	MurE.1
MurE	WP_046324246.1	MurE.1
MurE	WP_235280827.1	MurE.1
MurE	WP_056997263.1	MurE.1
MurE	WP_003562965.1	MurE.1
MurE	WP_010018009.1	MurE.1
MurE	WP_213819373.1	MurE.1
MurE	WP_260116535.1	MurE.1
MurE	WP_261806610.1	MurE.1
MurE	WP_191983785.1	MurE.1
MurE	WP_076996030.1	MurE.1
MurE	WP_125761474.1	MurE.1
MurE	WP_014215626.1	MurE.1
MurE	WP_057811258.1	MurE.1
MurE	WP_132973882.1	MurE.1
MurE	WP_056936437.1	MurE.1
MurE	WP_096039951.1	MurE.1
MurE	WP_054734825.1	MurE.1
MurE	WP_035452177.1	MurE.1
MurE	WP_125712147.1	MurE.1
MurE	WP_061603108.1	MurE.1
MurE	WP_106482939.1	MurE.1
MurE	WP_213821320.1	MurE.1
MurE	WP_262315824.1	MurE.1
MurE	WP_165994364.1	MurE.1
MurE	WP_040536181.1	MurE.1
MurE	WP_021037777.1	MurE.1
MurE	WP_008088281.1	MurE.1
MurE	WP_020088888.1	MurE.1
MurE	WP_125708688.1	MurE.1
MurE	WP_056988752.1	MurE.1
MurE	WP_057888366.1	MurE.1
MurE	WP_125754979.1	MurE.1
MurE	WP_057783044.1	MurE.1
MurE	WP_013231503.1	MurE.1
MurE	WP_206158728.1	MurE.1
MurE	WP_057893057.1	MurE.1
MurE	WP_054777319.1	MurE.1
MurE	WP_203626215.1	MurE.1
MurE	WP_225048419.1	MurE.1
MurE	WP_125582480.1	MurE.1
MurE	WP_004265146.1	MurE.1
MurE	WP_137612333.1	MurE.1
MurE	WP_180745425.1	MurE.1
MurE	WP_065903474.1	MurE.1
MurE	WP_109249781.1	MurE.1
MurE	WP_252773866.1	MurE.1
MurE	WP_120141324.1	MurE.1
MurE	WP_248849023.1	MurE.1
MurE	WP_129045557.1	MurE.1
MurE	WP_089136720.1	MurE.1
MurE	WP_137631856.1	MurE.1
MurE	WP_125696626.1	MurE.1
MurE	WP_220220651.1	MurE.1
MurE	WP_204119057.1	MurE.1
MurE	WP_119325400.1	MurE.1
MurE	WP_109917994.1	MurE.1
MurE	WP_154243033.1	MurE.1
MurE	WP_000590310.1	MurE.1
MurE	WP_125574410.1	MurE.1
MurE	WP_125588441.1	MurE.1
MurE	WP_056966577.1	MurE.1
MurE	WP_057905520.1	MurE.1
MurE	WP_023466423.1	MurE.1
MurE	WP_094785262.1	MurE.1
MurE	WP_057802577.1	MurE.1
MurE	WP_019293334.1	MurE.1
MurE	WP_090093713.1	MurE.1
MurE	WP_119316972.1	MurE.1
MurE	WP_123830899.1	MurE.1
MurE	WP_248661102.1	MurE.1
MurE	WP_010619996.1	MurE.1
MurE	WP_213808557.1	MurE.1
MurE	WP_125769431.1	MurE.1
MurE	WP_031366281.1	MurE.1
MurE	WP_213495554.1	MurE.1
MurE	WP_054678841.1	MurE.1
MurE	WP_057907398.1	MurE.1
MurE	WP_182150901.1	MurE.1
MurE	WP_220750853.1	MurE.1
MurE	WP_018378390.1	MurE.1
MurE	WP_048705350.1	MurE.1
MurE	WP_125566785.1	MurE.1
MurE	WP_025023527.1	MurE.1
MurE	WP_125674677.1	MurE.1
MurE	WP_213792472.1	MurE.1
MurE	WP_168850617.1	MurE.1
MurE	WP_125649339.1	MurE.1
MurE	WP_039143864.1	MurE.1
MurE	WP_057766599.1	MurE.1
MurE	WP_057868132.1	MurE.1
MurE	WP_057819004.1	MurE.1
MurE	WP_018371608.1	MurE.1
MurE	WP_125713186.1	MurE.1
MurE	WP_027829633.1	MurE.1
MurE	WP_125592798.1	MurE.1
MurE	WP_182082781.1	MurE.1
MurE	WP_125585331.1	MurE.1
MurE	WP_125770672.1	MurE.1
MurE	WP_054646275.1	MurE.1
MurE	WP_057806373.1	MurE.1
MurE	WP_203641488.1	MurE.1
MurE	WP_251423616.1	MurE.1
MurE	WP_160332636.1	MurE.1
MurE	WP_089108365.1	MurE.1
MurE	WP_018659702.1	MurE.1
MurE	WP_119908224.1	MurE.2
MurE	WP_034559190.1	MurE.2
MurE	WP_015075987.1	MurE.2
MurE	WP_089978470.1	MurE.2
MurE	WP_035028885.1	MurE.2
MurE	WP_034548199.1	MurE.2
MurE	WP_085560274.1	MurE.2
MurE	WP_034550726.1	MurE.2
MurE	WP_035053629.1	MurE.2
MurE	WP_007723049.1	MurE.2
MurE	WP_023177383.1	MurE.2
MurE	WP_130845071.1	MurE.2
MurE	WP_024624760.1	MurE.2
MurE	WP_092091954.1	MurE.2
MurE	WP_057705128.1	MurE.2
MurE	WP_137645467.1	MurE.2
MurE	WP_047999147.1	MurE.2
MurE	WP_137641637.1	MurE.2
MurE	WP_057773568.1	MurE.2
MurE	WP_050339001.1	MurE.2
MurE	WP_112250117.1	MurE.2
MurE	WP_015825270.1	MurE.2
MurE	WP_269023518.1	MurE.2
MurE	WP_054399564.1	MurE.2
MurE	WP_137628488.1	MurE.2
MurE	WP_057869026.1	MurE.2
MurE	WP_021730231.1	MurE.2
MurE	WP_009553658.1	MurE.2
MurE	WP_057736016.1	MurE.2
MurE	WP_125070755.1	MurE.2
MurE	WP_003690122.1	MurE.2
MurE	WP_057875846.1	MurE.2
MurE	WP_057805678.1	MurE.2
MurE	WP_137635573.1	MurE.2
MurE	WP_137640443.1	MurE.2
MurE	WP_057784640.1	MurE.2
MurE	WP_014073722.1	MurE.2
MurE	WP_137617058.1	MurE.2
MurE	WP_253359666.1	MurE.2
MurE	WP_137624842.1	MurE.2
MurE	WP_057828948.1	MurE.2
MurE	WP_034986648.1	MurE.2
MurE	WP_137606092.1	MurE.2
MurE	WP_056959990.1	MurE.2
MurE	WP_260905251.1	MurE.2
MurE	WP_057744979.1	MurE.2
MurE	WP_041095064.1	MurE.2
MurE	WP_057778409.1	MurE.2
MurE	WP_057896624.1	MurE.2
MurE	WP_062913320.1	MurE.2
MurE	WP_126813308.1	MurE.2
MurE	WP_010620977.1	MurE.2
MurE	WP_281164889.1	MurE.2
MurE	WP_126821823.1	MurE.2
MurE	WP_057870907.1	MurE.2
MurE	WP_137596776.1	MurE.2
MurE	WP_071130809.1	MurE.2
MurE	WP_057890239.1	MurE.2
MurE	WP_251546882.1	MurE.2
MurE	WP_135253678.1	MurE.2
MurE	WP_057886915.1	MurE.2
MurE	WP_044010751.1	MurE.2
MurE	WP_057823819.1	MurE.2
MurE	WP_125578908.1	MurE.2
MurE	WP_010580159.1	MurE.2
MurE	WP_209524519.1	MurE.2
MurE	WP_127848084.1	MurE.2
MurE	WP_056975555.1	MurE.2
MurE	WP_239457930.1	MurE.2
MurE	WP_054650722.1	MurE.2
MurE	WP_150204597.1	MurE.2
MurE	WP_054750666.1	MurE.2
MurE	WP_057756112.1	MurE.2
MurE	WP_125607987.1	MurE.2
MurE	WP_023859187.1	MurE.2
MurE	WP_125754031.1	MurE.2
MurE	WP_125711338.1	MurE.2
MurE	WP_179393792.1	MurE.2
MurE	WP_056965262.1	MurE.2
MurE	WP_166162315.1	MurE.2
MurE	WP_164507453.1	MurE.2
MurE	WP_006703030.1	MurE.2
MurE	WP_164544041.1	MurE.2
MurE	WP_177194472.1	MurE.2
MurE	WP_155286633.1	MurE.2
MurE	WP_071875062.1	MurE.2
MurE	WP_005605982.1	MurE.2
MurE	WP_089746025.1	MurE.2
MurE	WP_022795446.1	MurE.2
MurE	WP_146161814.1	MurE.2
MurE	WP_180687991.1	MurE.2
MurE	WP_143071380.1	MurE.2
MurE	WP_062532741.1	MurE.2
MurE	WP_176974179.1	MurE.2
MurE	WP_275658090.1	MurE.2
MurE	WP_159072162.1	MurE.2
MurE	WP_143091134.1	MurE.2
MurE	WP_209530974.1	MurE.2
MurE	WP_131814055.1	MurE.2
MurE	WP_166062515.1	MurE.2
MurE	WP_234970803.1	MurE.2
MurE	WP_073294863.1	MurE.2
MurE	WP_034907575.1	MurE.2
MurE	WP_124057544.1	MurE.2
MurE	WP_118990874.1	MurE.2
MurE	WP_028119011.1	MurE.2
MurE	WP_006701060.1	MurE.2
MurE	WP_284630265.1	MurE.2
MurE	WP_078756011.1	MurE.2
MurE	WP_248416027.1	MurE.2
MurE	WP_006308027.1	MurE.2
MurE	WP_138403647.1	MurE.2
MurE	WP_153832622.1	MurE.2
MurE	WP_218931099.1	MurE.2
MurE	WP_006907373.1	MurE.2
MurE	WP_023390945.1	MurE.2
MurE	WP_090290121.1	MurE.2
MurE	WP_197114205.1	MurE.2
MurE	WP_027107379.1	MurE.2
MurE	WP_108032158.1	MurE.2
MurE	WP_035052114.1	MurE.2
MurE	WP_092479121.1	MurE.2
MurE	WP_107995640.1	MurE.2
MurE	WP_034545536.1	MurE.2
MurE	WP_106449183.1	MurE.2
MurE	WP_226776614.1	MurE.2
MurE	WP_086985684.1	MurE.2
MurE	WP_025728251.1	MurE.2
MurE	WP_140186711.1	MurE.2
MurE	WP_068624465.1	MurE.2
MurE	WP_146924121.1	MurE.2
MurE	WP_091634823.1	MurE.2
MurE	WP_146923028.1	MurE.2
MurE	WP_086943135.1	MurE.2
MurE	WP_027108059.1	MurE.2
MurE	WP_091530747.1	MurE.2
MurE	WP_057490437.1	MurE.2
MurE	WP_007723219.1	MurE.2
MurE	WP_014633915.1	MurE.2
MurE	WP_072695121.1	MurE.2
MurE	WP_072693409.1	MurE.2
MurE	WP_027973338.1	MurE.2
MurE	WP_027108200.1	MurE.2
MurE	WP_018030326.1	MurE.2
MurE	WP_091531615.1	MurE.2
MurE	WP_209525723.1	MurE.2
MurE	WP_091489732.1	MurE.2
MurE	WP_186805092.1	MurE.2
MurE	WP_077274919.1	MurE.2
MurE	WP_003054161.1	MurE.2
MurE	WP_076996030.1	MurE.2
MurE	WP_018167641.1	MurE.2
MurE	WP_179971571.1	MurE.2
MurE	WP_003097927.1	MurE.2
MurE	WP_029277875.1	MurE.2
MurE	WP_067060415.1	MurE.2
MurE	WP_003082148.1	MurE.2
MurE	WP_054279077.1	MurE.2
MurE	WP_093650520.1	MurE.2
MurE	WP_121834885.1	MurE.2
MurE	WP_091480726.1	MurE.2
MurE	WP_035051079.1	MurE.2
MurE	WP_128832919.1	MurE.2
MurE	WP_091266425.1	MurE.2
MurE	WP_004229923.1	MurE.2
MurE	WP_027108201.1	MurE.2
MurE	WP_092652205.1	MurE.2
MurE	WP_125982959.1	MurE.2
MurE	WP_205009260.1	MurE.2
MurE	WP_091487356.1	MurE.2
MurE	WP_206158728.1	MurE.2
MurE	WP_002289475.1	MurE.2
MurE	WP_018368904.1	MurE.2
MurE	WP_091636288.1	MurE.2
MurE	WP_116878390.1	MurE.2
MurE	WP_019769586.1	MurE.2
MurE	WP_069647346.1	MurE.2
MurE	WP_104967372.1	MurE.2
MurE	WP_003066041.1	MurE.2
MurE	WP_003066041.1	MurE.2
MurE	WP_023177965.1	MurE.2
MurE	WP_009854768.1	MurE.2
MurE	WP_010763606.1	MurE.2
MurE	WP_253362687.1	MurE.2
MurE	WP_084387052.1	MurE.2
MurE	WP_168548164.1	MurE.2
MurE	WP_005589437.1	MurE.2
MurE	WP_177165556.1	MurE.2
MurE	WP_002985858.1	MurE.2
MurE	WP_026217671.1	MurE.2
MurE	WP_010762362.1	MurE.2
MurE	WP_091531623.1	MurE.2
MurE	WP_085559085.1	MurE.2
MurE	WP_003087200.1	MurE.2
MurE	WP_002996775.1	MurE.2
MurE	WP_034545996.1	MurE.2
MurE	WP_106190081.1	MurE.2
MurE	WP_009491926.1	MurE.2
MurE	WP_088270847.1	MurE.2
MurE	WP_059349308.1	MurE.2
MurE	WP_091762866.1	MurE.2
MurE	WP_074533551.1	MurE.2
MurE	WP_006269845.1	MurE.2
MurE	WP_018375842.1	MurE.2
MurE	WP_199574784.1	MurE.2
MurE	WP_062709539.1	MurE.2
MurE	WP_015694561.1	MurE.2
MurE	WP_106193772.1	MurE.2
MurE	WP_146567943.1	MurE.2
MurE	WP_115268531.1	MurE.2
MurE	WP_003078286.1	MurE.2
MurE	WP_027971797.1	MurE.2
MurE	WP_199542930.1	MurE.2
MurE	WP_025871848.1	MurE.2
MurE	WP_205017094.1	MurE.2
MurE	WP_074486332.1	MurE.2
MurE	WP_208559932.1	MurE.2
MurE	WP_069635728.1	MurE.2
MurE	WP_071856825.1	MurE.2
MurE	WP_126466558.1	MurE.2
MurE	WP_021001394.1	MurE.2
MurE	WP_010772116.1	MurE.2
MurE	WP_026216713.1	MurE.2
MurE	WP_037615131.1	MurE.2
MurE	WP_070788409.1	MurE.2
MurE	WP_027969810.1	MurE.2
MurE	WP_031366281.1	MurE.2
MurE	WP_235280827.1	MurE.2
MurE	WP_024052048.1	MurE.2
MurE	WP_071876046.1	MurE.2
MurE	WP_199567081.1	MurE.2
MurE	WP_091480712.1	MurE.2
MurE	WP_069654964.1	MurE.2
MurE	WP_007896270.1	MurE.2
MurE	WP_003562965.1	MurE.2
MurE	WP_029691392.1	MurE.2
MurE	WP_245592938.1	MurE.2
MurE	WP_004234735.1	MurE.2
MurE	WP_164228545.1	MurE.2
MurE	WP_027976562.1	MurE.2
MurE	WP_091896928.1	MurE.2
MurE	WP_058814181.1	MurE.2
MurE	WP_157629294.1	MurE.2
MurE	WP_049512471.1	MurE.2
MurE	WP_070793348.1	MurE.2
MurE	WP_208560686.1	MurE.2
MurE	WP_018373930.1	MurE.2
MurE	WP_057894717.1	MurE.2
MurE	WP_069664422.1	MurE.2
MurE	WP_003101555.1	MurE.2
MurE	WP_136136524.1	MurE.2
MurE	WP_134974246.1	MurE.2
MurE	WP_165994364.1	MurE.2
MurE	WP_200772563.1	MurE.2
MurE	WP_135782651.1	MurE.2
MurE	WP_270328466.1	MurE.2
MurE	WP_085559097.1	MurE.2
MurE	WP_114525008.1	MurE.2
MurE	WP_067625927.1	MurE.2
MurE	WP_092479701.1	MurE.2
MurE	WP_120171915.1	MurE.2
MurE	WP_245750916.1	MurE.2
MurE	WP_013903967.1	MurE.2
MurE	WP_096039951.1	MurE.2
MurE	WP_061603108.1	MurE.2
MurE	WP_140814235.1	MurE.2
MurE	WP_008088281.1	MurE.2
MurE	WP_237395201.1	MurE.2
MurE	WP_208930438.1	MurE.2
MurE	WP_006532866.1	MurE.2
MurE	WP_125955731.1	MurE.2
MurE	WP_069640300.1	MurE.2
MurE	WP_091266436.1	MurE.2
MurE	WP_115242421.1	MurE.2
MurE	WP_275471563.1	MurE.2
MurE	WP_106193781.1	MurE.2
MurE	WP_126404673.1	MurE.2
MurE	WP_010750212.1	MurE.2
MurE	WP_094785262.1	MurE.2
MurE	WP_011922188.1	MurE.2
MurE	WP_095803853.1	MurE.2
MurE	WP_056978428.1	MurE.2
MurE	WP_180745425.1	MurE.2
MurE	WP_049219066.1	MurE.2
MurE	WP_125942353.1	MurE.2
MurE	WP_003082548.1	MurE.2
MurE	WP_166008004.1	MurE.2
MurE	WP_092479294.1	MurE.2
MurE	WP_091760497.1	MurE.2
MurE	WP_221913674.1	MurE.2
MurE	WP_039639704.1	MurE.2
MurE	WP_129301816.1	MurE.2
MurE	WP_109835406.1	MurE.2
MurE	WP_096814216.1	MurE.2
MurE	WP_091480330.1	MurE.2
MurE	WP_117744555.1	MurE.2
MurE	WP_094940680.1	MurE.2
MurE	WP_275470078.1	MurE.2
MurE	WP_120701713.1	MurE.2
MurE	WP_018365545.1	MurE.2
MurE	WP_212572058.1	MurE.2
MurE	WP_126830218.1	MurE.2
MurE	WP_071867530.1	MurE.2
MurE	WP_025022574.1	MurE.2
MurE	WP_125982084.1	MurE.2
MurE	WP_257700123.1	MurE.2
MurE	WP_003141000.1	MurE.2
MurE	WP_006145282.1	MurE.2
MurE	WP_071854746.1	MurE.2
MurE	WP_018364210.1	MurE.2
MurE	WP_126779868.1	MurE.2
MurE	WP_249513402.1	MurE.2
MurE	WP_119876279.1	MurE.2
MurE	WP_126793356.1	MurE.2
MurE	WP_075103892.1	MurE.2
MurE	WP_092461454.1	MurE.2
MurE	WP_068222338.1	MurE.2
MurE	WP_125754979.1	MurE.2
MurE	WP_008462054.1	MurE.2
MurE	WP_018378390.1	MurE.2
MurE	WP_067085929.1	MurE.2
MurE	WP_005685323.1	MurE.2
MurE	WP_070652337.1	MurE.2
MurE	WP_126806162.1	MurE.2
MurE	WP_071793586.1	MurE.2
MurE	WP_137614143.1	MurE.2
MurE	WP_057798498.1	MurE.2
MurE	WP_010745349.1	MurE.2
MurE	WP_071456874.1	MurE.2
MurE	WP_000628277.1	MurE.2
MurE	WP_049552271.1	MurE.2
MurE	WP_227258527.1	MurE.2
MurE	WP_079348444.1	MurE.2
MurE	WP_081134145.1	MurE.2
MurE	WP_006739649.1	MurE.2
MurE	WP_057755072.1	MurE.2
MurE	WP_137664550.1	MurE.2
MurE	WP_057906848.1	MurE.2
MurE	WP_075098865.1	MurE.2
MurE	WP_125607973.1	MurE.2
MurE	WP_173102143.1	MurE.2
MurE	WP_054777319.1	MurE.2
MurE	WP_027698609.1	MurE.2
MurE	WP_016173022.1	MurE.2
MurE	WP_261814125.1	MurE.2
MurE	WP_093624301.1	MurE.2
MurE	WP_106482939.1	MurE.2
MurE	WP_045923342.1	MurE.2
MurE	WP_056988752.1	MurE.2
MurE	WP_172357153.1	MurE.2
MurE	WP_074427685.1	MurE.2
MurE	WP_056974010.1	MurE.2
MurE	WP_002292267.1	MurE.2
MurE	WP_056936437.1	MurE.2
MurE	WP_115471472.1	MurE.2
MurE	WP_258087730.1	MurE.2
MurE	WP_206213747.1	MurE.2
MurE	WP_125585331.1	MurE.2
MurE	WP_035184981.1	MurE.2
MurE	WP_006148136.1	MurE.2
MurE	WP_006148136.1	MurE.2
MurE	WP_216427878.1	MurE.2
MurE	WP_165314533.1	MurE.2
MurE	WP_010707827.1	MurE.2
MurE	WP_201336285.1	MurE.2
MurE	WP_023466423.1	MurE.2
MurE	WP_075269377.1	MurE.2
MurE	WP_010752737.1	MurE.2
MurE	WP_209559254.1	MurE.2
MurE	WP_057827713.1	MurE.2
MurE	WP_166035355.1	MurE.2
MurE	WP_002294486.1	MurE.2
MurE	WP_000590327.1	MurE.2
MurE	WP_006586238.1	MurE.2
MurE	WP_155287328.1	MurE.2
MurE	WP_182580438.1	MurE.2
MurE	WP_125571339.1	MurE.2
MurE	WP_000590270.1	MurE.2
MurE	WP_054715504.1	MurE.2
MurE	WP_120770404.1	MurE.2
MurE	WP_120718619.1	MurE.2
MurE	WP_002879511.1	MurE.2
MurE	WP_006731750.1	MurE.2
MurE	WP_045927485.1	MurE.2
MurE	WP_204119057.1	MurE.2
MurE	WP_054745737.1	MurE.2
MurE	WP_054745737.1	MurE.2
MurE	WP_045612052.1	MurE.2
MurE	WP_219966859.1	MurE.2
MurE	WP_154547886.1	MurE.2
MurE	WP_056940979.1	MurE.2
MurE	WP_218493815.1	MurE.2
MurE	WP_005720979.1	MurE.2
MurE	WP_261804812.1	MurE.2
MurE	WP_209551220.1	MurE.2
MurE	WP_135014199.1	MurE.2
MurE	WP_018371608.1	MurE.2
MurE	WP_125582480.1	MurE.2
MurE	WP_109290140.1	MurE.2
MurE	WP_003609612.1	MurE.2
MurE	WP_209686886.1	MurE.2
MurE	WP_002899784.1	MurE.2
MurE	WP_009496355.1	MurE.2
MurE	WP_068161801.1	MurE.2
MurE	WP_160332636.1	MurE.2
MurE	WP_172207683.1	MurE.2
MurE	WP_117117308.1	MurE.2
MurE	WP_095005833.1	MurE.2
MurE	WP_218327572.1	MurE.2
MurE	WP_210144925.1	MurE.2
MurE	WP_125708688.1	MurE.2
MurE	WP_136953297.1	MurE.2
MurE	WP_010766763.1	MurE.2
MurE	WP_075362511.1	MurE.2
MurE	WP_011254584.1	MurE.2
MurE	WP_251423616.1	MurE.2
MurE	WP_054734825.1	MurE.2
MurE	WP_125748292.1	MurE.2
MurE	WP_010370404.1	MurE.2
MurE	WP_140833066.1	MurE.2
MurE	WP_127849182.1	MurE.2
MurE	WP_118908732.1	MurE.2
MurE	WP_125761474.1	MurE.2
MurE	WP_057748514.1	MurE.2
MurE	WP_057756136.1	MurE.2
MurE	WP_046317692.1	MurE.2
MurE	WP_003702052.1	MurE.2
MurE	WP_128686783.1	MurE.2
MurE	WP_093624303.1	MurE.2
MurE	WP_054678841.1	MurE.2
MurE	WP_213408545.1	MurE.2
MurE	WP_080881782.1	MurE.2
MurE	WP_021037777.1	MurE.2
MurE	WP_124943408.1	MurE.2
MurE	WP_008471615.1	MurE.2
MurE	WP_154243033.1	MurE.2
MurE	WP_003656164.1	MurE.2
MurE	WP_057811258.1	MurE.2
MurE	WP_249514311.1	MurE.2
MurE	WP_003649952.1	MurE.2
MurE	WP_054652319.1	MurE.2
MurE	WP_006500865.1	MurE.2
MurE	WP_027824968.1	MurE.2
MurE	WP_057874205.1	MurE.2
